year,crime_rate,State
1970.0,30279.0,Ohio
1970.0,5194.0,Oklahoma
1970.0,5373.0,Oregon
1970.0,25970.0,Pennsylvania
1970.0,1943.9999999999998,Rhode Island
1970.0,7412.0,South Carolina
1970.0,616.0,South Dakota
1970.0,10787.0,Tennessee
1970.0,40897.0,Texas
1970.0,1459.0,Utah
1970.0,329.0,Vermont
1970.0,14040.0,Virginia
1970.0,7545.999999999999,Washington
1970.0,2158.0,West Virginia
1970.0,3792.0,Wisconsin
1970.0,376.0,Wyoming
1971.0000000000002,10835.0,Alabama
1971.0000000000002,1112.0,Alaska
1971.0000000000002,7407.0,Arizona
1971.0000000000002,4680.0,Arkansas
1971.0000000000002,104872.0,California
1971.0000000000002,8530.0,Colorado
1971.0000000000002,5968.0,Connecticut
1971.0000000000002,2060.0,Delaware
1971.0000000000002,16084.0,District of Columbia
1971.0000000000002,38575.0,Florida
1971.0000000000002,15898.0,Georgia
1971.0000000000002,1830.0,Hawaii
1971.0000000000002,917.0,Idaho
1971.0000000000002,53436.0,Illinois
1971.0000000000002,13031.0,Indiana
1971.0000000000002,2822.0000000000005,Iowa
1971.0000000000002,4843.0,Kansas
1971.0000000000002,7717.0,Kentucky
1971.0000000000002,15208.0,Louisiana
1971.0000000000002,903.0000000000001,Maine
1971.0000000000002,24857.0,Maryland
1971.0000000000002,15317.0,Massachusetts
1971.0000000000002,51697.0,Michigan
1971.0000000000002,5993.0,Minnesota
1971.0000000000002,6151.0,Mississippi
1971.0000000000002,18357.0,Missouri
1971.0000000000002,971.0,Montana
1971.0000000000002,2355.0,Nebraska
1971.0000000000002,1887.0,Nevada
1971.0000000000002,580.0,New Hampshire
1971.0000000000002,26441.0,New Jersey
1971.0000000000002,3994.0000000000005,New Mexico
1971.0000000000002,145048.0,New York
1971.0000000000002,19952.0,North Carolina
1971.0000000000002,238.0,North Dakota
1971.0000000000002,32159.000000000004,Ohio
1971.0000000000002,6718.999999999999,Oklahoma
1971.0000000000002,6335.0,Oregon
1971.0000000000002,31917.0,Pennsylvania
